language,source,test,model,statistic,DstatUP,DstatLO,statMedian,DstatMedUP,DstatMedLO,sizeEffect,DsizeEffectUP,DsizeEffectLO,effMedian,DeffMedUP,DeffMedLO,cFruits,cFlowers,cInsects,cInstruments,cWeapons,cPleasant,cUnpleasant,EV,GH
de5,1,1,ccwp,0.123791035,0.33,0.32,0.28,0.28,0.24,0.434302464,0.88,1.1,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de6,1,1,ccwp,0.319353607,0.37,0.35,0.28,0.28,0.24,0.991615437,0.52,1.13,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de7,1,1,ccwp,0.251273531,0.35,0.33,0.28,0.28,0.24,0.784836367,0.63,1.05,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de10,1,1,ccwp,0.230691862,0.39,0.36,0.28,0.28,0.24,0.897950865,0.73,1.41,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de11,1,1,ccwp,0.032429964,0.17,0.16,0.28,0.28,0.24,0.34380122,1.31,1.66,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de12,1,1,ccwp,0.362121222,0.35,0.33,0.28,0.28,0.24,1.020399869,0.46,0.97,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de13,1,1,ccwp,0.244062599,0.34,0.32,0.28,0.28,0.24,0.802453188,0.66,1.09,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de14,1,1,ccwp,0.252441352,0.38,0.39,0.28,0.28,0.24,0.655174565,0.66,1.03,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de15,1,1,ccwp,0.56356552,0.34,0.33,0.28,0.28,0.24,1.515488261,0.27,0.65,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de16,1,1,ccwp,-0.006020903,0.31,0.34,0.28,0.28,0.24,-0.020557994,1.0,0.93,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de17,1,1,ccwp,0.548528408,0.45,0.47,0.28,0.28,0.24,1.242351474,0.53,1.11,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de18,1,1,ccwp,0.303331761,0.3,0.29,0.28,0.28,0.24,1.092693412,0.54,1.04,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de19,1,1,ccwp,0.21207948,0.29,0.25,0.28,0.28,0.24,0.927583691,0.62,1.21,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de20,1,1,ccwp,0.153433079,0.32,0.3,0.28,0.28,0.24,0.55687999,0.68,1.05,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de21,1,1,ccwp,0.797532229,0.42,0.4,0.28,0.28,0.24,1.485559993,0.29,0.57,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de22,1,1,ccwp,0.516204218,0.35,0.32,0.28,0.28,0.24,1.313458935,0.36,0.74,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de23,1,1,ccwp,0.371307455,0.37,0.36,0.28,0.28,0.24,1.218625681,0.42,1.16,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de24,1,1,ccwp,0.215794098,0.29,0.29,0.28,0.28,0.24,0.98316983,0.57,1.31,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de25,1,1,ccwp,0.544513638,0.36,0.37,0.28,0.28,0.24,1.406743673,0.31,0.81,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de26,1,1,ccwp,0.399122912,0.29,0.27,0.28,0.28,0.24,1.367326012,0.38,0.76,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de0,0,1,ccwp,0.57,0.39,0.40,0.57,0.39,0.40,1.34,0.39,0.87,1.34,0.39,0.87,-,-,-,-,-,-,-,41.71,0.92
