language,source,test,model,statistic,DstatUP,DstatLO,statMedian,DstatMedUP,DstatMedLO,sizeEffect,DsizeEffectUP,DsizeEffectLO,effMedian,DeffMedUP,DeffMedLO,cFruits,cFlowers,cInsects,cInstruments,cWeapons,cPleasant,cUnpleasant,EV,GH
hr8,1,1,xlmr0,0.155419456,0.5,0.43,0.1,0.21,0.16,0.267055943,0.56,0.74,0.2228419435,0.42,0.35,-,-,-,-,-,-,-,57.66,0.54
hr9,1,1,xlmr0,0.294012724,0.49,0.45,0.1,0.21,0.16,0.453566977,0.59,0.67,0.2228419435,0.42,0.35,-,-,-,-,-,-,-,57.66,0.54
hr10,1,1,xlmr0,0.20980131,0.4,0.33,0.1,0.21,0.16,0.560683202,0.41,0.82,0.2228419435,0.42,0.35,-,-,-,-,-,-,-,57.66,0.54
hr11,1,1,xlmr0,0.043624522,0.37,0.34,0.1,0.21,0.16,0.099330964,0.59,0.69,0.2228419435,0.42,0.35,-,-,-,-,-,-,-,57.66,0.54
hr12,1,1,xlmr0,0.273992763,0.47,0.43,0.1,0.21,0.16,0.492540343,0.46,0.78,0.2228419435,0.42,0.35,-,-,-,-,-,-,-,57.66,0.54
hr0,0,1,xlmr0,0.20,0.42,0.36,0.20,0.42,0.36,0.49,0.51,0.85,0.49,0.51,0.85,-,-,-,-,-,-,-,57.66,0.54
hr1,1,1,xlmr11,0.018957935,0.11,0.1,0.025,0.07,0.06,0.198776653,0.59,0.8,0.21671892399999998,0.27,0.41,-,-,-,-,-,-,-,-,-
hr2,1,1,xlmr11,0.002725532,0.11,0.1,0.025,0.07,0.06,0.021244216,0.63,0.71,0.21671892399999998,0.27,0.41,-,-,-,-,-,-,-,-,-
hr3,1,1,xlmr11,0.034583698,0.12,0.1,0.025,0.07,0.06,0.302919675,0.58,0.77,0.21671892399999998,0.27,0.41,-,-,-,-,-,-,-,-,-
hr4,1,1,xlmr11,-0.03956241,0.16,0.16,0.025,0.07,0.06,-0.157134354,0.64,0.58,0.21671892399999998,0.27,0.41,-,-,-,-,-,-,-,-,-
hr5,1,1,xlmr11,-0.013154393,0.09,0.09,0.025,0.07,0.06,-0.235686469,0.82,0.55,0.21671892399999998,0.27,0.41,-,-,-,-,-,-,-,-,-
hr6,1,1,xlmr11,-0.027622021,0.15,0.17,0.025,0.07,0.06,-0.106441907,0.64,0.55,0.21671892399999998,0.27,0.41,-,-,-,-,-,-,-,-,-
hr7,1,1,xlmr11,0.036415527,0.12,0.12,0.025,0.07,0.06,0.234661195,0.67,0.64,0.21671892399999998,0.27,0.41,-,-,-,-,-,-,-,-,-
hr8,1,1,xlmr11,0.078600536,0.15,0.11,0.025,0.07,0.06,0.465313481,0.49,0.67,0.21671892399999998,0.27,0.41,-,-,-,-,-,-,-,-,-
hr9,1,1,xlmr11,0.122342086,0.21,0.19,0.025,0.07,0.06,0.359474437,0.56,0.56,0.21671892399999998,0.27,0.41,-,-,-,-,-,-,-,-,-
hr10,1,1,xlmr11,0.049130125,0.1,0.09,0.025,0.07,0.06,0.511466596,0.44,0.77,0.21671892399999998,0.27,0.41,-,-,-,-,-,-,-,-,-
hr11,1,1,xlmr11,0.024793697,0.12,0.11,0.025,0.07,0.06,0.170447844,0.71,0.69,0.21671892399999998,0.27,0.41,-,-,-,-,-,-,-,-,-
hr12,1,1,xlmr11,0.040349341,0.1,0.09,0.025,0.07,0.06,0.438273513,0.47,0.79,0.21671892399999998,0.27,0.41,-,-,-,-,-,-,-,-,-
hr0,0,1,xlmr11,0.01,0.13,0.11,0.01,0.13,0.11,0.05,0.68,0.70,0.05,0.68,0.70,-,-,-,-,-,-,-,-,-
hr1,1,1,xglm0,-0.092713328,0.18,0.19,0.025,0.08,0.12,-0.406278747,0.73,0.54,0.13115645,0.29,0.46,-,-,-,-,-,-,-,2584.28,2.3
hr2,1,1,xglm0,0.021769473,0.17,0.18,0.025,0.08,0.12,0.115880681,0.63,0.72,0.13115645,0.29,0.46,-,-,-,-,-,-,-,2584.28,2.3
hr3,1,1,xglm0,0.105084916,0.21,0.19,0.025,0.08,0.12,0.47170888,0.46,0.78,0.13115645,0.29,0.46,-,-,-,-,-,-,-,2584.28,2.3
hr4,1,1,xglm0,0.066659568,0.17,0.17,0.025,0.08,0.12,0.292410113,0.57,0.65,0.13115645,0.29,0.46,-,-,-,-,-,-,-,2584.28,2.3
hr5,1,1,xglm0,-0.010353026,0.17,0.18,0.025,0.08,0.12,-0.049959928,0.67,0.63,0.13115645,0.29,0.46,-,-,-,-,-,-,-,2584.28,2.3
hr6,1,1,xglm0,-0.090456289,0.23,0.24,0.025,0.08,0.12,-0.270014063,0.65,0.52,0.13115645,0.29,0.46,-,-,-,-,-,-,-,2584.28,2.3
hr7,1,1,xglm0,0.043604726,0.18,0.19,0.025,0.08,0.12,0.203746059,0.67,0.69,0.13115645,0.29,0.46,-,-,-,-,-,-,-,2584.28,2.3
hr8,1,1,xglm0,0.070741536,0.23,0.21,0.025,0.08,0.12,0.230238895,0.56,0.64,0.13115645,0.29,0.46,-,-,-,-,-,-,-,2584.28,2.3
hr9,1,1,xglm0,0.028539523,0.2,0.2,0.025,0.08,0.12,0.101947363,0.59,0.64,0.13115645,0.29,0.46,-,-,-,-,-,-,-,2584.28,2.3
hr10,1,1,xglm0,0.016500937,0.15,0.16,0.025,0.08,0.12,0.101941718,0.62,0.69,0.13115645,0.29,0.46,-,-,-,-,-,-,-,2584.28,2.3
hr11,1,1,xglm0,0.021131229,0.18,0.16,0.025,0.08,0.12,0.146432219,0.6,0.75,0.13115645,0.29,0.46,-,-,-,-,-,-,-,2584.28,2.3
hr12,1,1,xglm0,0.103154208,0.21,0.2,0.025,0.08,0.12,0.381015673,0.51,0.7,0.13115645,0.29,0.46,-,-,-,-,-,-,-,2584.28,2.3
hr0,0,1,xglm0,0.09,0.25,0.22,0.09,0.25,0.22,0.29,0.54,0.67,0.29,0.54,0.67,-,-,-,-,-,-,-,2584.28,2.3
hr1,1,1,xglm47,-0.168664905,0.18,0.25,0.0,0.08,0.14,-0.659529925,0.77,0.44,0.005171105499999995,0.63,0.50,-,-,-,-,-,-,-,-,-
hr2,1,1,xglm47,-0.034388076,0.22,0.25,0.0,0.08,0.14,-0.237669134,1.21,0.63,0.005171105499999995,0.63,0.50,-,-,-,-,-,-,-,-,-
hr3,1,1,xglm47,0.043636419,0.17,0.22,0.0,0.08,0.14,0.279665686,0.96,0.86,0.005171105499999995,0.63,0.50,-,-,-,-,-,-,-,-,-
hr4,1,1,xglm47,0.025051729,0.18,0.19,0.0,0.08,0.14,0.102953423,0.73,0.65,0.005171105499999995,0.63,0.50,-,-,-,-,-,-,-,-,-
hr5,1,1,xglm47,-0.060009817,0.16,0.23,0.0,0.08,0.14,-0.262697884,0.88,0.5,0.005171105499999995,0.63,0.50,-,-,-,-,-,-,-,-,-
hr6,1,1,xglm47,0.005955776,0.23,0.25,0.0,0.08,0.14,0.051546837,1.04,0.85,0.005171105499999995,0.63,0.50,-,-,-,-,-,-,-,-,-
hr7,1,1,xglm47,0.032265567,0.11,0.13,0.0,0.08,0.14,0.398992796,0.66,0.87,0.005171105499999995,0.63,0.50,-,-,-,-,-,-,-,-,-
hr8,1,1,xglm47,-0.026035145,0.17,0.24,0.0,0.08,0.14,-0.121889182,1.17,0.63,0.005171105499999995,0.63,0.50,-,-,-,-,-,-,-,-,-
hr9,1,1,xglm47,0.140874969,0.21,0.16,0.0,0.08,0.14,0.838064738,0.42,1.04,0.005171105499999995,0.63,0.50,-,-,-,-,-,-,-,-,-
hr10,1,1,xglm47,-0.005357587,0.14,0.19,0.0,0.08,0.14,-0.041204626,1.0,0.69,0.005171105499999995,0.63,0.50,-,-,-,-,-,-,-,-,-
hr11,1,1,xglm47,0.036526038,0.17,0.17,0.0,0.08,0.14,0.468030986,0.52,1.07,0.005171105499999995,0.63,0.50,-,-,-,-,-,-,-,-,-
hr12,1,1,xglm47,-0.105537407,0.17,0.23,0.0,0.08,0.14,-0.368856264,0.74,0.51,0.005171105499999995,0.63,0.50,-,-,-,-,-,-,-,-,-
hr0,0,1,xglm47,0.05,0.18,0.13,0.05,0.18,0.13,0.36,0.52,0.83,0.36,0.52,0.83,-,-,-,-,-,-,-,-,-
hr1,1,2,wiki,-0.059498989,0.64,0.67,0.29500000000000004,0.40,0.33,-0.134307542,1.14,1.0,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,42.13,0.54
hr2,1,2,wiki,0.472916637,0.56,0.52,0.29500000000000004,0.40,0.33,1.154873566,0.46,1.22,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,42.13,0.54
hr3,1,2,wiki,0.554993105,0.67,0.62,0.29500000000000004,0.40,0.33,0.960496035,0.54,1.08,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,42.13,0.54
hr4,1,2,wiki,0.226143634,0.46,0.45,0.29500000000000004,0.40,0.33,0.697941076,0.77,1.3,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,42.13,0.54
hr5,1,2,wiki,0.546740276,0.42,0.42,0.29500000000000004,0.40,0.33,1.273351269,0.39,0.91,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,42.13,0.54
hr6,1,2,wiki,0.277670518,0.8,0.84,0.29500000000000004,0.40,0.33,0.568062685,0.88,1.4,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,42.13,0.54
hr7,1,2,wiki,-0.013071258,0.59,0.59,0.29500000000000004,0.40,0.33,-0.026003812,0.9,0.9,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,42.13,0.54
hr8,1,2,wiki,0.149976753,0.52,0.53,0.29500000000000004,0.40,0.33,0.351218853,0.9,1.1,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,42.13,0.54
hr9,1,2,wiki,0.31227977,0.58,0.6,0.29500000000000004,0.40,0.33,0.745836053,0.67,1.31,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,42.13,0.54
hr10,1,2,wiki,0.203946819,0.67,0.62,0.29500000000000004,0.40,0.33,0.444159965,0.85,1.23,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,42.13,0.54
hr11,1,2,wiki,0.866591201,0.74,0.75,0.29500000000000004,0.40,0.33,1.293846199,0.36,1.08,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,42.13,0.54
hr12,1,2,wiki,0.332710999,0.6,0.64,0.29500000000000004,0.40,0.33,0.8706345,0.6,1.55,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,42.13,0.54
hr0,0,2,wiki,0.81,0.78,0.76,0.81,0.78,0.76,1.20,0.41,1.11,1.20,0.41,1.11,-,-,-,-,-,-,-,42.13,0.54
hr1,1,2,wikiAlign,-0.059498989,0.64,0.67,0.29500000000000004,0.40,0.33,-0.134307542,1.14,1.0,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,46.44,0.61
hr2,1,2,wikiAlign,0.472916637,0.56,0.52,0.29500000000000004,0.40,0.33,1.154873566,0.46,1.22,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,46.44,0.61
hr3,1,2,wikiAlign,0.554993105,0.67,0.62,0.29500000000000004,0.40,0.33,0.960496035,0.54,1.08,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,46.44,0.61
hr4,1,2,wikiAlign,0.226143634,0.46,0.45,0.29500000000000004,0.40,0.33,0.697941076,0.77,1.3,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,46.44,0.61
hr5,1,2,wikiAlign,0.546740276,0.42,0.42,0.29500000000000004,0.40,0.33,1.273351269,0.39,0.91,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,46.44,0.61
hr6,1,2,wikiAlign,0.277670518,0.8,0.84,0.29500000000000004,0.40,0.33,0.568062685,0.88,1.4,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,46.44,0.61
hr7,1,2,wikiAlign,-0.013071258,0.59,0.59,0.29500000000000004,0.40,0.33,-0.026003812,0.9,0.9,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,46.44,0.61
hr8,1,2,wikiAlign,0.149976753,0.52,0.53,0.29500000000000004,0.40,0.33,0.351218853,0.9,1.1,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,46.44,0.61
hr9,1,2,wikiAlign,0.31227977,0.58,0.6,0.29500000000000004,0.40,0.33,0.745836053,0.67,1.31,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,46.44,0.61
hr10,1,2,wikiAlign,0.203946819,0.67,0.62,0.29500000000000004,0.40,0.33,0.444159965,0.85,1.23,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,46.44,0.61
hr11,1,2,wikiAlign,0.866591201,0.74,0.75,0.29500000000000004,0.40,0.33,1.293846199,0.36,1.08,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,46.44,0.61
hr12,1,2,wikiAlign,0.332710999,0.6,0.64,0.29500000000000004,0.40,0.33,0.8706345,0.6,1.55,0.7218885644999999,0.56,0.80,-,-,-,-,-,-,-,46.44,0.61
hr0,0,2,wikiAlign,0.53,0.69,0.71,0.53,0.69,0.71,0.86,0.60,1.20,0.86,0.60,1.20,-,-,-,-,-,-,-,46.44,0.61
hr1,1,2,ccwp,0.881592188,0.53,0.53,0.865,0.12,0.39,1.417723267,0.25,0.78,1.3348527575,0.21,0.60,-,-,-,-,-,-,-,51.0,0.65
hr2,1,2,ccwp,0.904249271,0.51,0.48,0.865,0.12,0.39,1.483670642,0.24,0.77,1.3348527575,0.21,0.60,-,-,-,-,-,-,-,51.0,0.65
hr3,1,2,ccwp,0.853360348,0.63,0.62,0.865,0.12,0.39,1.21714867,0.42,0.89,1.3348527575,0.21,0.60,-,-,-,-,-,-,-,51.0,0.65
hr4,1,2,ccwp,0.680197665,0.45,0.48,0.865,0.12,0.39,1.442538181,0.35,1.0,1.3348527575,0.21,0.60,-,-,-,-,-,-,-,51.0,0.65
hr5,1,2,ccwp,0.910405588,0.45,0.44,0.865,0.12,0.39,1.542187744,0.23,0.68,1.3348527575,0.21,0.60,-,-,-,-,-,-,-,51.0,0.65
hr6,1,2,ccwp,1.047853057,0.82,0.76,0.865,0.12,0.39,1.534035661,0.22,1.03,1.3348527575,0.21,0.60,-,-,-,-,-,-,-,51.0,0.65
hr7,1,2,ccwp,0.552684075,0.65,0.63,0.865,0.12,0.39,0.742004074,0.59,0.87,1.3348527575,0.21,0.60,-,-,-,-,-,-,-,51.0,0.65
hr8,1,2,ccwp,0.556082067,0.45,0.43,0.865,0.12,0.39,1.251982248,0.42,0.99,1.3348527575,0.21,0.60,-,-,-,-,-,-,-,51.0,0.65
hr9,1,2,ccwp,0.387558305,0.55,0.59,0.865,0.12,0.39,0.731946475,0.62,1.09,1.3348527575,0.21,0.60,-,-,-,-,-,-,-,51.0,0.65
hr10,1,2,ccwp,0.652267931,0.57,0.57,0.865,0.12,0.39,1.10310315,0.51,1.0,1.3348527575,0.21,0.60,-,-,-,-,-,-,-,51.0,0.65
hr11,1,2,ccwp,0.909983304,0.68,0.66,0.865,0.12,0.39,1.191714791,0.41,0.83,1.3348527575,0.21,0.60,-,-,-,-,-,-,-,51.0,0.65
hr12,1,2,ccwp,0.932600645,0.53,0.55,0.865,0.12,0.39,1.556870655,0.18,0.76,1.3348527575,0.21,0.60,-,-,-,-,-,-,-,51.0,0.65
hr0,0,2,ccwp,1.07,0.72,0.73,1.07,0.72,0.73,1.17,0.40,0.76,1.17,0.40,0.76,-,-,-,-,-,-,-,51.0,0.65
hr1,1,2,cc10017,0.929098103,0.72,0.63,0.71,0.47,0.33,1.001395216,0.39,0.72,0.7466389005,0.48,0.46,158256,100580,52698,92909,228484,1107832,551167,90.9,0.61
hr2,1,2,cc10017,0.500913621,0.8,1.06,0.71,0.47,0.33,0.442041117,0.86,0.78,0.7466389005,0.48,0.46,151440,77275,54346,155306,185122,1544145,711184,90.9,0.61
hr3,1,2,cc10017,0.675865609,0.8,0.87,0.71,0.47,0.33,0.652569838,0.61,0.82,0.7466389005,0.48,0.46,166730,82649,56242,48569,222060,983735,571797,90.9,0.61
hr4,1,2,cc10017,0.491098916,0.63,0.72,0.71,0.47,0.33,0.687169481,0.78,0.94,0.7466389005,0.48,0.46,158422,62419,58983,162367,42407,1462989,111336,90.9,0.61
hr5,1,2,cc10017,1.074905149,0.69,0.67,0.71,0.47,0.33,1.27482036,0.32,0.83,0.7466389005,0.48,0.46,162108,72384,49905,69179,202189,1340256,460543,90.9,0.61
hr6,1,2,cc10017,0.738061392,0.89,1.05,0.71,0.47,0.33,0.80610832,0.63,0.97,0.7466389005,0.48,0.46,149493,67583,55775,199581,285829,1939318,806812,90.9,0.61
hr7,1,2,cc10017,0.436251976,1.12,1.13,0.71,0.47,0.33,0.269021574,0.67,0.68,0.7466389005,0.48,0.46,151047,101936,49154,180292,207891,1781659,267555,90.9,0.61
hr8,1,2,cc10017,0.296622249,0.55,0.6,0.71,0.47,0.33,0.579131662,0.68,1.03,0.7466389005,0.48,0.46,154980,77583,40089,21873,67987,1726588,336092,90.9,0.61
hr9,1,2,cc10017,0.436464984,1.08,1.07,0.71,0.47,0.33,0.294776579,0.65,0.69,0.7466389005,0.48,0.46,148530,74957,45853,88630,104891,1982093,124868,90.9,0.61
hr10,1,2,cc10017,1.147933586,0.85,0.81,0.71,0.47,0.33,1.08086564,0.44,0.78,0.7466389005,0.48,0.46,128586,74681,38984,42812,209421,1437418,661193,90.9,0.61
hr11,1,2,cc10017,1.209025576,0.75,0.79,0.71,0.47,0.33,1.118665313,0.45,0.79,0.7466389005,0.48,0.46,152174,75784,57948,50843,214883,2191083,1618116,90.9,0.61
hr12,1,2,cc10017,1.023690801,0.86,0.73,0.71,0.47,0.33,1.182565371,0.33,0.82,0.7466389005,0.48,0.46,162180,72399,47640,88772,229185,2368783,1019332,90.9,0.61
hr0,0,2,cc10017,1.20,0.94,1.30,1.20,0.94,1.30,0.84,0.67,0.80,0.84,0.67,0.80,-,80816,59901,77856,528546,1955466,755524,90.9,0.61
hr1,1,2,cc10017Align,1.297292137,1.44,1.08,0.025,0.94,0.47,0.722788602,0.43,0.57,0.05337450399999999,0.69,0.37,158256,100580,52698,92909,228484,1107832,551167,332.28,0.76
hr2,1,2,cc10017Align,-0.420715921,1.11,1.54,0.025,0.94,0.47,-0.255824178,0.78,0.6,0.05337450399999999,0.69,0.37,151440,77275,54346,155306,185122,1544145,711184,332.28,0.76
hr3,1,2,cc10017Align,-0.080046743,1.41,1.31,0.025,0.94,0.47,-0.047107567,0.73,0.71,0.05337450399999999,0.69,0.37,166730,82649,56242,48569,222060,983735,571797,332.28,0.76
hr4,1,2,cc10017Align,-0.031221723,0.69,0.85,0.025,0.94,0.47,-0.037669164,0.91,0.77,0.05337450399999999,0.69,0.37,158422,62419,58983,162367,42407,1462989,111336,332.28,0.76
hr5,1,2,cc10017Align,0.076677587,0.65,0.74,0.025,0.94,0.47,0.128517058,0.84,0.81,0.05337450399999999,0.69,0.37,162108,72384,49905,69179,202189,1340256,460543,332.28,0.76
hr6,1,2,cc10017Align,-0.039399834,1.12,1.53,0.025,0.94,0.47,-0.02176805,0.75,0.58,0.05337450399999999,0.69,0.37,149493,67583,55775,199581,285829,1939318,806812,332.28,0.76
hr7,1,2,cc10017Align,-0.470034063,1.06,1.19,0.025,0.94,0.47,-0.395305188,0.9,0.62,0.05337450399999999,0.69,0.37,151047,101936,49154,180292,207891,1781659,267555,332.28,0.76
hr8,1,2,cc10017Align,-0.072384151,0.59,0.71,0.025,0.94,0.47,-0.135327144,0.96,0.73,0.05337450399999999,0.69,0.37,154980,77583,40089,21873,67987,1726588,336092,332.28,0.76
hr9,1,2,cc10017Align,0.640079658,1.85,1.69,0.025,0.94,0.47,0.26269755,0.61,0.67,0.05337450399999999,0.69,0.37,148530,74957,45853,88630,104891,1982093,124868,332.28,0.76
hr10,1,2,cc10017Align,0.696673889,1.23,0.98,0.025,0.94,0.47,0.581513883,0.62,0.81,0.05337450399999999,0.69,0.37,128586,74681,38984,42812,209421,1437418,661193,332.28,0.76
hr11,1,2,cc10017Align,0.536481176,1.2,1.11,0.025,0.94,0.47,0.328099674,0.67,0.63,0.05337450399999999,0.69,0.37,152174,75784,57948,50843,214883,2191083,1618116,332.28,0.76
hr12,1,2,cc10017Align,0.409690835,0.88,0.81,0.025,0.94,0.47,0.764154622,0.44,1.19,0.05337450399999999,0.69,0.37,162180,72399,47640,88772,229185,2368783,1019332,332.28,0.76
hr0,0,2,cc10017Align,0.32,1.32,1.62,0.32,1.32,1.62,0.17,0.82,0.64,0.17,0.82,0.64,-,80816,59901,77856,528546,1955466,755524,332.28,0.76
hr1,1,2,cc10017vecmap,1.553195308,1.15,1.15,1.5,0.69,0.77,0.99681927,0.42,0.78,0.7121094115,0.48,0.31,158256,100580,52698,92909,228484,1107832,551167,68.57,0.93
hr2,1,2,cc10017vecmap,1.013639991,1.24,1.48,1.5,0.69,0.77,0.569626116,0.76,0.77,0.7121094115,0.48,0.31,151440,77275,54346,155306,185122,1544145,711184,68.57,0.93
hr3,1,2,cc10017vecmap,1.741940736,1.25,1.34,1.5,0.69,0.77,0.962734033,0.53,0.78,0.7121094115,0.48,0.31,166730,82649,56242,48569,222060,983735,571797,68.57,0.93
hr4,1,2,cc10017vecmap,0.895556563,1.0,1.07,1.5,0.69,0.77,0.782988774,0.67,0.92,0.7121094115,0.48,0.31,158422,62419,58983,162367,42407,1462989,111336,68.57,0.93
hr5,1,2,cc10017vecmap,1.878965896,1.03,1.08,1.5,0.69,0.77,1.255250371,0.36,0.73,0.7121094115,0.48,0.31,162108,72384,49905,69179,202189,1340256,460543,68.57,0.93
hr6,1,2,cc10017vecmap,1.450675399,1.47,1.61,1.5,0.69,0.77,0.839058441,0.6,0.85,0.7121094115,0.48,0.31,149493,67583,55775,199581,285829,1939318,806812,68.57,0.93
hr7,1,2,cc10017vecmap,0.942117962,1.59,1.64,1.5,0.69,0.77,0.379350786,0.63,0.65,0.7121094115,0.48,0.31,151047,101936,49154,180292,207891,1781659,267555,68.57,0.93
hr8,1,2,cc10017vecmap,0.523566251,0.94,1.0,1.5,0.69,0.77,0.498724219,0.7,0.9,0.7121094115,0.48,0.31,154980,77583,40089,21873,67987,1726588,336092,68.57,0.93
hr9,1,2,cc10017vecmap,1.096515196,1.82,1.83,1.5,0.69,0.77,0.416935811,0.64,0.67,0.7121094115,0.48,0.31,148530,74957,45853,88630,104891,1982093,124868,68.57,0.93
hr10,1,2,cc10017vecmap,2.051093604,1.38,1.32,1.5,0.69,0.77,0.420565036,0.42,0.69,0.7121094115,0.48,0.31,128586,74681,38984,42812,209421,1437418,661193,68.57,0.93
hr11,1,2,cc10017vecmap,2.357091733,1.18,1.17,1.5,0.69,0.77,0.641230049,0.29,0.72,0.7121094115,0.48,0.31,152174,75784,57948,50843,214883,2191083,1618116,68.57,0.93
hr12,1,2,cc10017vecmap,1.739479065,1.26,1.11,1.5,0.69,0.77,1.14643761,0.37,0.72,0.7121094115,0.48,0.31,162180,72399,47640,88772,229185,2368783,1019332,68.57,0.93
hr0,0,2,cc10017vecmap,2.11,1.54,1.92,2.11,1.54,1.92,0.92,0.56,0.76,0.92,0.56,0.76,-,80816,59901,77856,528546,1955466,755524,68.57,0.93
hr1,1,2,cc10017vecmapSup,1.549787264,1.04,1.06,1.6,0.92,0.77,1.125893243,0.4,0.78,0.9678451180000001,0.39,0.58,158256,100580,52698,92909,228484,1107832,551167,26.58,0.61
hr2,1,2,cc10017vecmapSup,1.496106419,0.99,1.11,1.6,0.92,0.77,0.97054399,0.55,0.69,0.9678451180000001,0.39,0.58,151440,77275,54346,155306,185122,1544145,711184,26.58,0.61
hr3,1,2,cc10017vecmapSup,1.841642058,1.13,1.14,1.6,0.92,0.77,1.210745794,0.42,0.78,0.9678451180000001,0.39,0.58,166730,82649,56242,48569,222060,983735,571797,26.58,0.61
hr4,1,2,cc10017vecmapSup,1.127310966,0.93,0.93,1.6,0.92,0.77,1.024691479,0.56,0.84,0.9678451180000001,0.39,0.58,158422,62419,58983,162367,42407,1462989,111336,26.58,0.61
hr5,1,2,cc10017vecmapSup,2.068738837,0.86,0.89,1.6,0.92,0.77,1.422171266,0.29,0.54,0.9678451180000001,0.39,0.58,162108,72384,49905,69179,202189,1340256,460543,26.58,0.61
hr6,1,2,cc10017vecmapSup,1.841891759,1.4,1.44,1.6,0.92,0.77,0.297560466,0.46,0.81,0.9678451180000001,0.39,0.58,149493,67583,55775,199581,285829,1939318,806812,26.58,0.61
hr7,1,2,cc10017vecmapSup,1.089108417,1.33,1.34,1.6,0.92,0.77,0.590016066,0.61,0.74,0.9678451180000001,0.39,0.58,151047,101936,49154,180292,207891,1781659,267555,26.58,0.61
hr8,1,2,cc10017vecmapSup,0.513283055,0.82,0.83,1.6,0.92,0.77,0.574174592,0.7,0.88,0.9678451180000001,0.39,0.58,154980,77583,40089,21873,67987,1726588,336092,26.58,0.61
hr9,1,2,cc10017vecmapSup,1.112747969,1.63,1.6,1.6,0.92,0.77,0.463515247,0.64,0.68,0.9678451180000001,0.39,0.58,148530,74957,45853,88630,104891,1982093,124868,26.58,0.61
hr10,1,2,cc10017vecmapSup,2.262264664,1.27,1.2,1.6,0.92,0.77,0.717794747,0.31,0.6,0.9678451180000001,0.39,0.58,128586,74681,38984,42812,209421,1437418,661193,26.58,0.61
hr11,1,2,cc10017vecmapSup,2.840956493,1.12,1.06,1.6,0.92,0.77,0.965146246,0.23,0.56,0.9678451180000001,0.39,0.58,152174,75784,57948,50843,214883,2191083,1618116,26.58,0.61
hr12,1,2,cc10017vecmapSup,1.646100611,0.99,0.98,1.6,0.92,0.77,1.302001447,0.33,0.75,0.9678451180000001,0.39,0.58,162180,72399,47640,88772,229185,2368783,1019332,26.58,0.61
hr0,0,2,cc10017vecmapSup,1.96,1.38,1.50,1.96,1.38,1.50,1.01,0.51,0.74,1.01,0.51,0.74,-,80816,59901,77856,528546,1955466,755524,26.58,0.61
hr1,1,2,w2v2langs,0.008755316,0.87,1.17,0.535,0.44,0.46,0.006888274,0.96,0.64,0.562919533,0.68,0.40,174968,145442,53520,95392,804422,1107833,820237,33.1,0.81
hr2,1,2,w2v2langs,0.515018459,0.9,1.25,0.535,0.44,0.46,0.565573515,0.92,0.99,0.562919533,0.68,0.40,171272,78038,55171,158959,764180,6923707,993204,33.1,0.81
hr3,1,2,w2v2langs,0.623207631,0.91,0.88,0.535,0.44,0.46,0.743629393,0.57,0.96,0.562919533,0.68,0.40,188914,89120,57070,79509,797101,1005563,584719,33.1,0.81
hr4,1,2,w2v2langs,0.392019751,0.62,0.7,0.535,0.44,0.46,0.560265551,0.83,0.9,0.562919533,0.68,0.40,181728,68703,59994,166609,47321,1463773,111508,33.1,0.81
hr5,1,2,w2v2langs,1.013274311,0.73,0.6,0.535,0.44,0.46,1.270694843,0.35,0.78,0.562919533,0.68,0.40,178818,80379,50730,73328,773837,1340967,461685,33.1,0.81
hr6,1,2,w2v2langs,0.678761415,0.84,1.03,0.535,0.44,0.46,0.691799266,0.73,0.87,0.562919533,0.68,0.40,171517,74307,56606,203155,862080,7224957,806826,33.1,0.81
hr7,1,2,w2v2langs,0.438087641,0.96,0.96,0.535,0.44,0.46,0.341589893,0.64,0.7,0.562919533,0.68,0.40,175156,103425,50163,183139,779037,7030475,267654,33.1,0.81
hr8,1,2,w2v2langs,0.124794712,0.51,0.53,0.535,0.44,0.46,0.316618708,0.75,1.0,0.562919533,0.68,0.40,177001,84600,40908,25244,73757,6911450,336526,33.1,0.81
